Origin_Node,Origin_Lon,Origin_Lat,Dest_Node,Dest_Lon,Dest_Lat,Distance_km,Is_On_Optimal_Route
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,SU TERAZİSİ,28.7784149999817,41.0029450005539,41.445699999999995,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,AŞIK MAHSUNİ ŞERİF CADDESİ,29.1870010000103,40.9976309991169,78.05630000000001,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,BLOKLAR- ŞEHİT MEHMET CİVAK,28.9994669645928,41.1220159650117,59.514199999999995,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,SÜNNET KÖPRÜSÜ,28.9510299999882,41.0635170005639,55.927099999999996,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,BİLGİ SOKAK,29.0325950309239,41.0930880443516,58.8853,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,LİLYUM SOKAK,28.7123323385955,41.0736702937127,31.3116,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ESENKENT PARK,28.6693000000048,41.0608999991152,27.1143,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,GÖĞÜS HASTANESİ,28.9165884776912,41.0002834089139,51.6644,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,VİLLALAR,29.3264570000089,41.088738999115,92.2269,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,SEVBAN MEHMET CADDESİ,28.7327939999782,41.2081150005869,36.5301,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,BEZMİALEM VAKIF ÜNİVERSİTESİ,28.9342369999879,41.020832000557,49.0535,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ŞEHİT TAHSİN GEREKLİ,28.7143569999776,41.0641270005636,30.3383,0
