LATITUDE,LONGITUDE,AVERAGE_SPEED,MAXIMUM_SPEED,NUMBER_OF_VEHICLES
40.9048461914063,29.1741943359375,24.322580645161292,77,74.25806451612904
40.9048461914063,29.1851806640625,20.93548387096774,67,78.16129032258064
40.9048461914063,29.1961669921875,21.93548387096774,61,48.225806451612904
40.9048461914063,29.2071533203125,43.193548387096776,140,462.16129032258067
40.9048461914063,29.2181396484375,44.32258064516129,152,273.258064516129
40.9048461914063,29.2730712890625,42.29032258064516,89,82.0
40.9048461914063,29.2840576171875,30.516129032258064,94,122.61290322580645
40.9048461914063,29.2950439453125,45.806451612903224,95,26.06451612903226
40.9048461914063,29.3280029296875,77.87096774193549,141,181.48387096774192
40.9048461914063,29.3389892578125,52.935483870967744,115,38.41935483870968
40.9048461914063,29.3499755859375,49.774193548387096,91,28.129032258064516
40.9048461914063,29.3609619140625,80.70967741935483,188,347.83870967741933
40.9048461914063,29.3719482421875,38.61290322580645,87,39.67741935483871
40.9103393554688,29.1302490234375,39.54838709677419,108,92.12903225806451
40.9103393554688,29.1412353515625,38.03225806451613,114,88.87096774193549
40.9103393554688,29.1522216796875,30.29032258064516,76,70.19354838709677
40.9103393554688,29.1632080078125,22.032258064516128,73,87.16129032258064
40.9103393554688,29.1741943359375,21.64516129032258,80,98.87096774193549
40.9103393554688,29.1851806640625,34.96774193548387,109,109.16129032258064
40.9103393554688,29.1961669921875,49.483870967741936,157,273.1290322580645
40.9103393554688,29.2071533203125,51.25806451612903,134,278.64516129032256
40.9103393554688,29.2181396484375,54.516129032258064,134,198.32258064516128
40.9103393554688,29.2950439453125,31.64516129032258,93,113.64516129032258
40.9103393554688,29.3170166015625,26.548387096774192,77,190.58064516129033
40.9103393554688,29.3280029296875,71.96774193548387,156,231.6451612903226
40.9103393554688,29.3389892578125,51.61290322580645,122,71.0
40.9103393554688,29.3499755859375,64.2258064516129,111,20.29032258064516
40.9103393554688,29.3609619140625,70.2258064516129,165,387.19354838709677
40.9158325195313,29.1302490234375,42.064516129032256,114,115.80645161290323
40.9158325195313,29.1412353515625,25.096774193548388,71,71.70967741935483
40.9158325195313,29.1522216796875,26.774193548387096,80,102.58064516129032
40.9158325195313,29.1632080078125,22.903225806451612,76,58.45161290322581
40.9158325195313,29.1741943359375,38.74193548387097,153,270.06451612903226
40.9158325195313,29.1851806640625,49.41935483870968,153,222.2258064516129
40.9158325195313,29.1961669921875,21.903225806451612,106,92.7741935483871
40.9158325195313,29.2071533203125,24.032258064516128,85,76.06451612903226
40.9158325195313,29.2181396484375,69.64516129032258,145,121.3225806451613
40.9158325195313,29.2950439453125,20.580645161290324,92,67.06451612903226
40.9158325195313,29.3060302734375,28.774193548387096,83,159.32258064516128
40.9158325195313,29.3170166015625,42.774193548387096,141,409.1290322580645
40.9158325195313,29.3280029296875,69.12903225806451,155,294.2258064516129
40.9158325195313,29.3389892578125,60.83870967741935,138,140.70967741935485
40.9158325195313,29.3499755859375,57.16129032258065,167,454.03225806451616
40.9158325195313,29.3609619140625,68.12903225806451,151,44.16129032258065
